Call Sign,Origin,Destination,EOBT,TOBT,CTOT,Stand Assignment
SAS932,KLAX,EKCH,02:30,13:10,NIL,E33
SAS936,KSFO,EKCH,02:40,13:20,NIL,C32
SAS2885,ENVA,EKCH,03:45,05:20,NIL,D2
SAS1871,ENZV,EKCH,04:00,05:10,NIL,B9
NOZ5HM,ENGM,EKCH,04:00,05:15,NIL,A22
SAS2861,ENBR,EKCH,04:00,05:20,NIL,D3
RYR16VW,EKCH,EPGD,04:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F5
WOODAIR,EKCH,ZZZZ,04:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A33
BBB077,EKCH,ZZZZ,04:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A32
SAS1228,EKYT,EKCH,04:15,05:05,NIL,D3
SAS2478,EKCH,ZZZZ,04:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B7
SAS1240,EKAH,EKCH,04:30,05:10,NIL,F96
DLH2GY,EDDM,EKCH,04:30,06:05,NIL,A18
SK683,EKCH,LIMC,04:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B9
SND55D,EKCH,ZZZZ,04:35,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A30
SAS894,EKCH,ZZZZ,04:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E88
UAE65U,OMDB,EKCH,04:55,11:15,NIL,C39
VKG11,EKCH,ZZZZ,05:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D1
GTI290,EKCH,LEPA,05:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,G133
SAS791,EKCH,LFMN,05:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B10
NSZ3224,EKCH,ENGM,05:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A20
UAE9987,EKCH,KORD,05:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,G136
SAS747,EKCH,ZZZZ,05:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E36
RYR6844,EPGD,EKCH,05:30,06:40,NIL,F4
FIN8RK,EFHK,EKCH,05:35,05:55,NIL,A12
SAS1415,ESSA,EKCH,05:40,07:15,NIL,B6
BAW814,EGLL,EKCH,05:40,07:30,NIL,C27
SAS1685,EKCH,ZZZZ,05:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D3
N1AW,EKCH,ZZZZ,05:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A34
BOX77F,EKCH,ZZZZ,05:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,G124
SAS601,EKCH,LSZH,05:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B10
SAS657,EKCH,EDDS,05:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B9
BAW812,EGLL,EKCH,06:00,07:55,NIL,C33
SAS1706,EKCH,EFHK,06:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B8
SAS46M,EKCH,ESSA,06:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B4
SAS1462,EKCH,ENGM,06:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B6
SAS1629,EKCH,EDDL,06:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D3
BOX611,EKCH,EIDW,06:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,G127
SAS1243,EKCH,EKAH,06:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B4
SAS96C,EKCH,LEPA,06:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A15
SAS2551,EKCH,EHAM,06:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B19
LOT1EM,EPWA,EKCH,06:25,07:55,NIL,A11
SAS1207,EKCH,EKYT,06:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A11
FIN7RX,EKCH,EFHK,06:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A12
SAS454,EKCH,ZZZZ,07:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B6
SAS58E,EKCH,ESSA,07:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B4
DAL219,EKCH,KJFK,07:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C28
RYR62GD,EKCH,EIDW,07:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F4
RYR217Y,EKCH,ZZZZ,07:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,H104
JTD401E,EKCH,ZZZZ,07:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A34
QTR16K,EKCH,OTBD,07:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C37
DAL21P,EKCH,ZZZZ,07:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C28
SAS79Z,LFMN,EKCH,07:15,10:10,NIL,A23
TRA45,EKCH,ZZZZ,07:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F9
D83080,EKCH,ZZZZ,07:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A26
SAS625,ESGG,EKCH,07:55,08:40,NIL,D3
SK404,EKCH,ESSA,08:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A26
EZY8720,EKCH,EGKK,08:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F1
SAS89T,LSZH,EKCH,08:20,10:05,NIL,D2
SAS747,EKCH,ZZZZ,08:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E36
DLH1VX,EDDF,EKCH,08:25,09:35,NIL,A6
DLH7XC,EDDM,EKCH,08:25,10:00,NIL,A8
RYR6968,EKCH,EGCC,08:35,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F4
BAW813C,EKCH,EGLL,08:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C27
LOT6KC,EKCH,EPWA,08:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A11
LOT46K,EKCH,ZZZZ,08:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A12
NSZ3220,EKCH,ZZZZ,08:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A6
EZS93W,EKCH,ZZZZ,08:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A15
FIN3WR,EFHK,EKCH,08:55,10:35,NIL,A21
SAS436,EKCH,ESGG,08:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D4
SAS402,EKCH,ZZZZ,08:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D3
GEC1373,EKCH,ZZZZ,08:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,G133
SAS540,EGCC,EKCH,09:00,10:45,NIL,B9
SAS2835,EKCH,ZZZZ,09:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E86
NSZ82F,EKCH,ZZZZ,09:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D2
SAS41C,EGLL,EKCH,09:20,11:10,NIL,C30
NSZ3740,EKCH,LIPZ,09:25,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A6
SAS1687,EKCH,LIML,09:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B4
VKG415,LTAI,EKCH,09:55,13:50,NIL,D1
DLH522,EKCH,ZZZZ,09:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A4
TUI4521,EKCH,ZZZZ,09:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A23
BEL2JE,EKCH,EBBR,09:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A9
SAS50G,EKCH,ENGM,10:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B6
DLH827,EKCH,EDDF,10:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A6
RYR507Y,EIDW,EKCH,10:35,12:05,NIL,F4
SAS503,EKCH,EGLL,10:35,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E20
SAS87Y,EKCH,EHAM,10:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B4
TAP53KT,EKCH,LPPT,10:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A9
ACA829,EKCH,CYYZ,10:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C29
DLH3YY,EKCH,EDDM,10:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A8
BAW819K,EKCH,ZZZZ,11:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C27
SAS1213,EKCH,EKYT,11:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E36
FIN7Z,EKCH,EFHK,11:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A21
BER43,EKCH,ZZZZ,11:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A27
SAS929,EKCH,KATL,11:25,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C34
BAW33A,EKCH,ZZZZ,11:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C27
NOZ55J,EKCH,ZZZZ,11:35,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A8
NSZ3538,EKCH,ZZZZ,11:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A21
DNU525W,EKCH,ZZZZ,11:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A27
SAS686,EKCH,ZZZZ,11:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B9
SAS597,EKCH,ZZZZ,11:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E20
NSZ3516,EKCH,EGKK,11:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D3
SAS539,EKCH,ZZZZ,12:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B10
NSZ611,EKCH,ZZZZ,12:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D2
SAS931,EKCH,KLAX,12:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E27
THA951,EKCH,VTBS,12:25,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C35
ACA2569,EKCH,ZZZZ,12:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E75
SAS1257,EKCH,EKAH,12:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F96
NOZ941,EKCH,ENGM,12:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A8
SAS91K,EKCH,ENGM,12:50,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B7
SAS28K,EKCH,LSGG,13:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B6
AFR94SY,LFPG,EKCH,13:10,15:05,NIL,A17
BEL7WA,EKCH,ZZZZ,13:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A9
SAS504,EGLL,EKCH,13:20,15:10,NIL,D2
SAS405,ESSA,EKCH,13:30,14:20,NIL,B8
SAS747,EKCH,ZZZZ,14:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E36
SAS2873,ENBR,EKCH,14:05,13:55,NIL,D4
WZZ2XE,EKCH,ZZZZ,14:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,H101
SAS89A,EKCH,ZZZZ,14:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D1
SAS1549,EKCH,EHAM,14:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D2
SAS988,RKSI,EKCH,14:45,04:05,NIL,E33
SAS697,EKCH,LIRP,14:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B9
SWR468E,LSZH,EKCH,14:50,16:35,NIL,A14
BAW816,EGLL,EKCH,14:55,16:50,NIL,C27
KLM39F,EHAM,EKCH,15:00,16:15,NIL,A18
EJU69UA,LIML,EKCH,15:00,17:05,NIL,F8
WZZ2XE,EKCH,ZZZZ,15:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,H101
LOT461,EPWA,EKCH,15:10,16:35,NIL,A11
DLH6RL,EDDM,EKCH,15:10,16:45,NIL,A4
SAS2963,EKCH,LIRQ,15:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A11
SAS651,EKCH,EDDH,15:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F96
SAS925,EKCH,KIAD,15:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E31
ACA881,EKCH,ZZZZ,15:35,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C33
TAP755,EKCH,LPPT,15:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A17
NSZ3TW,LEMG,EKCH,15:50,19:35,NIL,A22
SAS1759,EKCH,LDSP,15:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,D2
AFR62LH,EKCH,LFPG,16:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E74
SIA352,WSSS,EKCH,16:05,05:10,NIL,C33
FIN7LT,EFHK,EKCH,16:05,17:15,NIL,A11
SAS402,EKCH,ZZZZ,16:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A27
KLM52W,EKCH,ZZZZ,16:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A18
SAS506,EGLL,EKCH,16:30,17:55,NIL,D1
CDF2TV,EKCH,ZZZZ,16:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E36
WMT3119,EKCH,ZZZZ,16:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F7
SAS48D,EHAM,EKCH,16:45,18:05,NIL,D2
VKG295,EKCH,ZZZZ,17:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A27
KLM50K,EKCH,EHAM,17:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A15
SAS39C,ESSA,EKCH,17:10,18:10,NIL,D3
DLH6AX,EKCH,EDDF,17:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A26
BAW157,EKCH,ZZZZ,17:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C27
